age,tenure_months,monthly_charges,support_tickets,monthly_logins,late_payment,contract_type,internet_service,payment_method,paperless_billing,has_dependents,satisfaction_score,data_usage_gb,churn
55,45,89.06,1,13,1,Two year,Fiber optic,Credit card,1,0,4,7.4,0
45,49,108.69,2,15,0,Two year,DSL,Mailed check,1,1,5,98.4,0
67,9,108.41,2,12,0,Month-to-month,DSL,Mailed check,1,0,1,40.6,1
50,54,26.7,2,14,0,Two year,Fiber optic,Mailed check,1,0,6,28.4,0
22,18,90.32,3,17,0,Month-to-month,Fiber optic,Mailed check,1,0,5,63.2,1
62,38,54.21,1,20,0,Month-to-month,Fiber optic,Electronic check,1,0,6,49.3,0
51,49,166.67,0,8,0,One year,Fiber optic,Electronic check,1,0,5,61.8,1
54,44,176.25,3,21,1,One year,DSL,Credit card,1,0,6,126.4,0
50,24,67.94,2,17,0,One year,Fiber optic,Bank transfer,1,1,2,32.9,1
50,29,48.03,3,14,1,One year,Fiber optic,Electronic check,0,0,9,33.7,0
23,35,55.12,1,8,0,Two year,Fiber optic,Electronic check,1,0,7,84.2,0
50,3,96.44,0,13,0,Month-to-month,Fiber optic,Credit card,0,0,3,34.3,0
64,53,159.92,0,16,0,Month-to-month,DSL,Credit card,1,0,2,204.6,1
35,8,100.01,1,14,1,One year,Fiber optic,Electronic check,1,0,10,47.6,0
52,34,28.86,2,12,0,Month-to-month,DSL,Credit card,0,1,6,65.2,0
19,48,26.38,2,16,0,Month-to-month,DSL,Bank transfer,0,0,9,99.1,0
38,6,56.38,0,10,1,Month-to-month,Fiber optic,Electronic check,1,0,5,57.1,1
43,72,154.84,3,16,0,One year,Fiber optic,Electronic check,1,1,3,49.2,0
74,28,119.44,3,13,1,Two year,DSL,Electronic check,0,0,3,92.1,1
30,2,110.07,3,15,0,One year,DSL,Mailed check,0,1,1,31.8,1
34,48,71.04,1,15,0,One year,Fiber optic,Mailed check,0,0,6,63.8,1
41,41,168.71,1,17,0,One year,Fiber optic,Electronic check,1,0,8,27.5,0
75,47,72.99,2,12,0,Month-to-month,Fiber optic,Mailed check,1,0,2,87.5,1
67,55,153.59,2,14,0,One year,Fiber optic,Credit card,1,0,1,46.9,1
20,35,163.34,4,13,0,One year,DSL,Mailed check,1,0,2,64.5,1
31,60,97.33,0,12,1,Two year,Fiber optic,Electronic check,1,1,5,103.7,0
65,27,163.09,1,14,0,Month-to-month,None,Mailed check,1,1,6,29.7,1
21,40,64.29,0,16,0,Two year,None,Credit card,0,0,6,71.2,0
67,12,125.35,2,20,0,One year,DSL,Mailed check,1,0,9,88.3,0
34,45,34.07,2,10,0,Month-to-month,None,Electronic check,1,0,10,81.6,0
71,19,95.83,0,8,0,Month-to-month,DSL,Bank transfer,1,0,9,46.6,0
35,51,54.77,1,20,0,Month-to-month,DSL,Mailed check,0,0,4,20.0,0
43,58,30.04,2,17,0,One year,Fiber optic,Electronic check,0,0,5,105.9,0
56,62,20.6,1,6,1,Month-to-month,DSL,Credit card,1,0,8,20.0,0
25,67,71.96,2,13,0,One year,DSL,Mailed check,1,1,3,17.4,0
50,9,114.32,2,14,0,One year,DSL,Mailed check,0,0,10,52.8,1
47,10,92.84,2,18,0,One year,Fiber optic,Bank transfer,0,0,2,35.1,0
63,67,68.28,0,18,0,Month-to-month,Fiber optic,Electronic check,1,0,5,67.5,1
75,28,178.59,3,13,0,Two year,Fiber optic,Mailed check,0,0,8,84.5,1
56,2,170.32,2,19,0,Two year,Fiber optic,Electronic check,1,0,2,46.3,1
41,21,40.1,4,11,0,One year,DSL,Credit card,1,0,10,163.9,0
41,61,86.42,2,18,0,Month-to-month,Fiber optic,Mailed check,1,1,2,30.8,0
42,26,123.82,0,11,1,Two year,Fiber optic,Electronic check,1,0,3,15.3,0
65,6,137.36,3,18,0,One year,DSL,Credit card,0,0,4,52.0,0
36,52,78.62,1,10,0,Two year,None,Bank transfer,1,0,7,54.9,0
27,15,139.41,0,10,0,Month-to-month,Fiber optic,Electronic check,1,0,4,74.3,1
37,26,39.86,1,16,0,Two year,Fiber optic,Credit card,1,0,6,41.7,0
19,1,73.09,2,17,0,Month-to-month,Fiber optic,Electronic check,0,0,4,19.5,1
24,44,134.63,0,16,0,Month-to-month,Fiber optic,Bank transfer,1,0,4,56.6,1
23,33,120.11,1,13,1,One year,Fiber optic,Mailed check,0,0,5,67.6,1
62,63,153.95,0,10,0,Month-to-month,Fiber optic,Electronic check,0,0,3,59.1,1
59,25,27.5,1,16,1,Month-to-month,DSL,Credit card,0,0,6,68.8,1
58,15,47.9,2,9,0,Month-to-month,DSL,Electronic check,1,0,5,63.2,0
44,12,27.76,2,14,0,Month-to-month,DSL,Credit card,1,0,3,59.2,0
59,15,50.74,0,7,0,One year,None,Electronic check,1,0,5,38.4,0
27,33,20.69,1,11,0,Month-to-month,Fiber optic,Mailed check,1,0,5,36.8,0
70,7,100.67,1,11,0,Month-to-month,DSL,Electronic check,1,0,5,130.4,0
47,29,104.53,2,10,1,One year,DSL,Bank transfer,0,0,7,29.0,0
72,62,125.26,2,18,1,Two year,Fiber optic,Credit card,0,0,3,131.9,1
26,56,81.59,3,13,1,Month-to-month,None,Mailed check,1,0,6,34.0,0
46,46,20.51,0,13,0,Month-to-month,Fiber optic,Electronic check,0,0,5,113.5,0
58,65,127.82,1,13,1,Two year,DSL,Credit card,0,1,8,86.8,0
46,57,28.69,0,10,1,Two year,None,Electronic check,1,0,7,75.8,0
43,47,158.59,1,14,0,One year,None,Bank transfer,0,0,3,5.2,1
27,63,23.62,2,12,0,Month-to-month,Fiber optic,Electronic check,1,1,3,37.7,0
40,9,104.88,2,14,0,Month-to-month,Fiber optic,Bank transfer,1,0,4,61.9,1
31,59,163.19,0,15,0,One year,Fiber optic,Credit card,0,1,4,90.9,0
35,22,111.6,3,12,0,Two year,Fiber optic,Electronic check,1,0,6,51.7,1
57,53,117.35,0,7,1,Two year,None,Electronic check,0,1,3,22.0,0
54,66,129.06,1,17,1,Month-to-month,Fiber optic,Bank transfer,0,1,10,54.0,0
53,36,39.59,2,17,1,Month-to-month,Fiber optic,Electronic check,1,0,9,68.9,0
38,7,127.99,1,6,0,Two year,DSL,Mailed check,1,1,7,47.2,1
73,27,160.86,1,18,0,Two year,Fiber optic,Mailed check,1,0,7,125.3,1
23,30,175.88,3,15,0,One year,DSL,Credit card,1,0,3,56.4,0
37,68,90.89,1,9,0,Month-to-month,Fiber optic,Credit card,1,0,6,94.4,0
24,68,75.12,0,9,0,One year,None,Credit card,0,0,1,37.7,0
37,41,140.53,2,8,1,Month-to-month,DSL,Mailed check,0,0,2,81.2,1
73,69,106.86,2,12,0,Month-to-month,Fiber optic,Credit card,1,0,6,33.7,0
39,32,61.17,1,16,1,Month-to-month,Fiber optic,Credit card,1,0,1,82.5,0
70,30,47.55,0,19,0,Month-to-month,DSL,Bank transfer,1,0,10,46.7,0
46,61,47.24,2,12,0,Month-to-month,Fiber optic,Credit card,1,0,8,22.6,1
58,49,93.47,2,23,0,Month-to-month,Fiber optic,Bank transfer,1,0,7,42.0,1
44,38,47.22,3,8,0,Month-to-month,DSL,Credit card,1,1,9,30.0,0
33,33,23.16,2,16,1,Month-to-month,Fiber optic,Credit card,1,1,5,44.2,0
62,51,28.33,0,12,0,Month-to-month,Fiber optic,Mailed check,0,0,9,23.1,0
74,55,168.78,0,11,0,Two year,Fiber optic,Electronic check,1,0,1,19.9,0
33,36,31.67,3,16,1,One year,DSL,Bank transfer,1,0,9,28.8,0
63,3,31.71,0,14,0,Month-to-month,DSL,Credit card,0,0,2,13.6,0
33,8,92.19,0,17,0,One year,DSL,Electronic check,0,0,2,101.7,0
59,11,59.22,3,9,1,Month-to-month,Fiber optic,Credit card,1,0,8,53.5,0
63,34,174.03,2,17,0,Month-to-month,DSL,Mailed check,0,0,8,57.2,1
44,45,165.76,0,13,0,Month-to-month,Fiber optic,Bank transfer,0,1,4,45.0,0
60,58,84.76,5,18,0,Two year,Fiber optic,Credit card,0,0,2,25.8,1
33,17,91.8,2,13,0,Month-to-month,None,Credit card,0,0,3,69.1,1
22,57,80.02,2,16,0,Two year,Fiber optic,Mailed check,0,1,5,63.8,0
23,48,26.06,2,13,0,One year,Fiber optic,Credit card,0,0,3,26.9,0
43,4,66.86,2,11,0,Month-to-month,DSL,Credit card,1,0,10,83.7,1
70,26,39.63,2,11,0,Two year,DSL,Credit card,1,0,9,23.4,0
25,22,36.38,3,13,0,Month-to-month,Fiber optic,Mailed check,0,0,5,56.2,1
44,64,109.74,0,12,0,One year,Fiber optic,Credit card,1,0,4,91.2,0
58,67,35.8,1,12,0,One year,DSL,Bank transfer,1,1,2,112.3,0
29,59,36.47,2,12,0,Month-to-month,Fiber optic,Bank transfer,1,0,2,47.3,0
59,39,96.88,3,17,1,Month-to-month,DSL,Mailed check,1,1,1,31.6,1
35,36,90.77,1,15,0,Two year,Fiber optic,Bank transfer,0,0,4,17.8,0
64,23,42.02,3,12,0,Month-to-month,Fiber optic,Credit card,1,0,9,42.6,1
51,56,20.71,3,16,0,Two year,DSL,Mailed check,1,0,8,41.5,0
49,7,50.88,1,9,0,Month-to-month,Fiber optic,Mailed check,0,0,1,94.4,0
28,20,57.74,2,13,0,Month-to-month,Fiber optic,Electronic check,1,0,5,56.7,0
44,10,148.04,3,11,0,Month-to-month,Fiber optic,Bank transfer,0,1,4,22.7,1
67,36,166.47,1,12,0,Month-to-month,Fiber optic,Bank transfer,1,0,8,82.9,0
19,22,84.95,2,12,0,Two year,DSL,Credit card,1,1,6,92.1,0
61,15,84.8,2,18,0,Month-to-month,Fiber optic,Credit card,1,0,7,60.9,0
46,28,134.0,0,13,0,One year,Fiber optic,Bank transfer,0,0,1,84.3,1
59,62,120.31,2,9,0,Month-to-month,Fiber optic,Electronic check,0,0,4,52.0,1
56,41,49.46,1,18,0,Month-to-month,Fiber optic,Credit card,1,0,4,79.5,0
43,60,37.23,3,14,0,Month-to-month,Fiber optic,Bank transfer,0,0,9,37.6,0
35,66,90.02,1,13,0,One year,Fiber optic,Credit card,1,0,8,5.8,0
54,65,110.37,2,14,1,One year,Fiber optic,Electronic check,1,0,1,114.4,0
26,26,42.19,2,13,0,Month-to-month,Fiber optic,Electronic check,1,0,2,24.1,0
51,64,66.92,1,12,0,Two year,DSL,Electronic check,0,0,8,191.4,0
23,66,68.95,5,10,0,Month-to-month,None,Bank transfer,1,0,4,143.5,0
55,70,61.81,0,11,0,Two year,DSL,Electronic check,1,1,6,116.7,0
54,26,93.72,4,20,0,Month-to-month,DSL,Mailed check,0,0,4,31.9,1
22,17,124.49,0,10,1,One year,Fiber optic,Bank transfer,1,0,4,43.4,0
61,43,101.5,1,22,0,Month-to-month,Fiber optic,Bank transfer,0,1,2,39.1,1
42,68,52.23,1,17,0,Month-to-month,Fiber optic,Electronic check,1,0,5,33.2,0
63,65,36.47,1,18,0,Two year,Fiber optic,Electronic check,1,0,8,37.8,0
20,42,151.5,3,20,0,One year,DSL,Mailed check,1,0,6,72.1,1
28,11,96.69,3,22,0,Month-to-month,Fiber optic,Bank transfer,0,0,2,44.7,0
46,31,29.94,1,17,1,One year,Fiber optic,Credit card,1,0,3,26.8,0
28,52,61.3,2,12,0,Month-to-month,DSL,Electronic check,1,1,8,16.1,0
37,41,148.65,2,9,0,Month-to-month,Fiber optic,Credit card,1,0,7,87.7,1
56,25,140.28,1,12,1,One year,DSL,Credit card,0,1,10,59.4,1
26,25,160.13,3,19,0,Two year,Fiber optic,Bank transfer,1,0,6,54.2,1
57,5,116.33,5,18,0,Month-to-month,Fiber optic,Credit card,0,1,10,8.4,1
23,21,87.66,2,13,0,One year,None,Mailed check,1,1,8,27.1,0
28,49,88.26,1,10,0,Two year,Fiber optic,Electronic check,0,0,9,55.0,0
52,18,51.04,2,14,0,One year,None,Bank transfer,1,0,2,69.3,0
64,72,124.13,1,14,1,Month-to-month,None,Electronic check,1,0,4,6.5,1
27,6,113.61,3,18,0,Month-to-month,None,Electronic check,0,0,4,53.7,1
35,43,44.78,0,15,0,Month-to-month,Fiber optic,Mailed check,1,1,2,62.4,0
71,36,161.71,3,16,0,Month-to-month,DSL,Mailed check,0,0,6,29.5,1
75,60,78.95,1,10,0,One year,Fiber optic,Mailed check,0,1,1,100.2,1
51,64,27.96,0,5,0,Month-to-month,Fiber optic,Bank transfer,1,0,8,22.5,0
43,40,72.46,0,11,1,Month-to-month,None,Electronic check,0,1,3,63.2,0
38,46,159.18,0,12,0,One year,Fiber optic,Mailed check,1,0,4,39.9,0
53,51,166.71,0,18,0,Month-to-month,DSL,Mailed check,1,0,3,73.5,1
52,38,98.46,2,8,0,One year,DSL,Bank transfer,1,0,4,52.5,0
35,14,173.01,3,13,0,One year,DSL,Mailed check,0,1,5,94.8,1
19,31,160.04,0,11,0,One year,Fiber optic,Credit card,1,0,9,26.8,1
26,18,152.04,1,14,0,Month-to-month,Fiber optic,Mailed check,1,0,2,39.8,1
73,34,157.55,4,9,1,Month-to-month,DSL,Mailed check,0,1,2,74.2,1
42,45,81.1,5,10,0,Month-to-month,DSL,Electronic check,1,1,4,57.4,0
45,16,141.04,0,19,0,One year,DSL,Electronic check,1,0,8,75.0,0
45,18,112.37,1,12,0,One year,Fiber optic,Mailed check,1,0,8,82.5,1
63,60,135.15,0,9,0,One year,Fiber optic,Bank transfer,1,1,9,80.4,0
21,28,48.45,3,14,0,Month-to-month,DSL,Credit card,1,0,7,62.2,0
22,15,137.02,2,13,0,One year,Fiber optic,Bank transfer,1,1,3,81.7,0
33,52,173.21,1,16,0,Month-to-month,DSL,Electronic check,0,0,7,49.4,1
46,52,68.43,3,11,1,Month-to-month,Fiber optic,Electronic check,0,0,5,71.5,1
56,60,177.79,3,18,0,Month-to-month,None,Electronic check,0,0,7,24.9,1
46,55,80.54,0,16,0,Two year,DSL,Electronic check,0,1,6,58.6,0
43,72,51.96,1,17,0,One year,None,Electronic check,0,0,10,60.6,0
72,42,37.97,2,7,0,Two year,Fiber optic,Electronic check,1,0,8,122.1,0
27,21,145.59,1,16,0,One year,DSL,Mailed check,1,1,10,46.2,0
51,63,108.77,1,10,0,Two year,DSL,Electronic check,1,0,9,20.4,0
49,20,69.14,0,18,1,One year,DSL,Electronic check,1,0,5,20.2,0
45,21,117.35,6,15,0,One year,DSL,Credit card,0,0,4,121.8,1
64,60,73.14,0,14,0,Month-to-month,DSL,Bank transfer,1,0,3,108.4,0
33,64,91.74,2,12,0,One year,None,Bank transfer,0,0,4,65.2,0
73,25,158.03,1,24,0,One year,DSL,Electronic check,1,1,2,16.7,1
37,53,126.91,2,20,0,Month-to-month,None,Electronic check,1,1,4,65.9,1
49,67,141.98,2,8,0,Month-to-month,Fiber optic,Electronic check,0,0,9,69.2,1
48,58,113.36,3,13,0,Month-to-month,Fiber optic,Electronic check,1,0,2,54.0,0
67,1,178.62,2,14,0,Month-to-month,Fiber optic,Electronic check,0,0,9,65.7,1
43,48,58.63,1,19,0,One year,Fiber optic,Mailed check,0,0,1,42.3,0
34,13,61.97,1,12,0,Month-to-month,None,Bank transfer,1,1,2,16.8,0
19,61,34.81,3,12,0,Two year,DSL,Electronic check,1,0,9,87.0,0
39,5,108.64,2,22,0,Month-to-month,Fiber optic,Electronic check,0,0,6,64.0,0
65,72,118.14,1,16,0,One year,DSL,Mailed check,0,0,4,108.6,0
18,13,136.15,2,13,1,One year,DSL,Bank transfer,1,0,2,79.3,1
69,31,73.67,1,13,1,One year,DSL,Electronic check,0,0,1,31.5,0
49,17,21.96,2,17,1,Month-to-month,Fiber optic,Bank transfer,1,0,3,14.0,0
26,59,121.16,1,11,1,Month-to-month,DSL,Mailed check,1,1,2,68.0,1
35,29,179.79,1,13,1,Month-to-month,None,Credit card,1,0,7,54.2,1
50,54,67.13,2,13,0,One year,Fiber optic,Bank transfer,1,1,10,56.5,0
36,5,49.43,2,12,0,Month-to-month,Fiber optic,Credit card,1,1,3,64.5,0
24,33,65.08,1,12,0,Month-to-month,Fiber optic,Electronic check,1,1,1,12.6,0
56,66,88.07,2,17,0,Two year,Fiber optic,Credit card,0,0,10,49.1,0
56,67,60.15,1,15,1,One year,DSL,Credit card,0,1,7,31.5,0
24,16,75.51,0,18,0,Month-to-month,Fiber optic,Electronic check,1,1,4,58.9,0
34,29,122.11,0,16,0,Month-to-month,DSL,Credit card,0,1,8,32.7,0
32,30,75.2,4,17,0,One year,DSL,Mailed check,0,1,7,42.3,0
56,41,83.37,1,10,0,Two year,Fiber optic,Electronic check,1,1,8,40.7,0
60,39,26.41,3,8,0,One year,DSL,Electronic check,1,0,2,42.4,0
60,8,166.87,1,16,0,Month-to-month,Fiber optic,Credit card,1,0,4,84.0,1
72,55,85.1,0,22,0,Two year,Fiber optic,Mailed check,1,0,6,40.6,0
62,17,72.5,2,9,0,Month-to-month,Fiber optic,Bank transfer,0,0,7,88.2,1
36,23,33.84,1,13,0,Month-to-month,DSL,Bank transfer,1,0,6,9.5,0
24,61,121.47,2,17,0,Month-to-month,DSL,Bank transfer,1,0,3,33.3,0
53,50,158.21,1,20,0,Month-to-month,DSL,Electronic check,0,0,4,12.0,0
71,29,26.58,0,16,1,Month-to-month,Fiber optic,Electronic check,0,1,5,76.9,0
74,66,43.24,0,8,0,Month-to-month,Fiber optic,Mailed check,1,1,1,50.6,0
